id;id_product;id_loja;cod_prod;titulo;estoque_qtd;
2453;NULL;3;884486042187;MASCARA REDKEN CLEAR MOISTURE 250ML;0;
2454;NULL;3;884486063311;MASCARA REDKEN SOOTH DOWN 250ML;0;
2455;NULL;3;74469484459;MASCARA SENSCIENCE RESTORE 150ML;0;
2456;NULL;3;7464804100572;MASCARA SILICON MIX BAMBU 250GR;0;
2457;NULL;3;7464804100589;MASCARA SILICON MIX BAMBU 450G;0;
2458;NULL;3;7464804101371;MASCARA SILICON MIX HIDR 225G;0;
2459;NULL;3;7464804101364;MASCARA SILICON MIX HIDR 450G;0;
2460;NULL;3;7898947943800;MASCARA TRUSS BLOND 180G;0;
2461;NULL;3;7898947943787;MASCARA TRUSS INFUSION 650ML;0;
2462;NULL;3;7898947943718;MASCARA TRUSS NET 550G;0;
2463;NULL;3;7898947943831;MASCARA TRUSS PERFECT 180G;2;
2464;NULL;3;7898947943817;MASCARA TRUSS SPECIFIC 180G;1;
2465;NULL;3;8432225085852;MASCARA UNIQ ONE 300ML;0;
2466;NULL;3;7899706178709;MASCARA VITAMINO COLOR;2;
2467;NULL;3;7899026472709;MASCARA VITAMINO COLOR 500G;0;
2468;NULL;3;7899026472112;MASCARA X TENSO 500G;0;
2469;NULL;3;3454090001978;MAX H 100ML;0;
2470;NULL;3;85805063658;MEDITERRANEAN 50ML;0;
2471;NULL;3;416;MEDITERRANEO H 100ML;0;
2472;NULL;3;8411061705919;MEDITERRANEO H 200ML;0;
2473;NULL;3;3137370118619;MEMOIRE D'HOMME  100ML;0;
2474;NULL;3;3137370117179;MEMOIRE D'HOMME 60ML;0;
2475;NULL;3;3137370118602;MEMOIRE D'HOMME DEO 150ML;0;
2476;NULL;3;3595471021014;MERCEDES BENS H 120ML;0;
2477;NULL;3;3595471081018;MERCEDES BENS SELECT 100ML;3;
2478;NULL;3;3595471041012;MERCEDES BENZ CLUB 100ML;0;
2479;NULL;3;3595471041197;MERCEDES BENZ CLUB BLACK 100ML;4;
2480;NULL;3;3595471041036;MERCEDES BENZ CLUB EXTREME 100ML;0;
2481;NULL;3;3595471031037;MERCEDES BENZ EDP F 30ML;0;
2482;NULL;3;3954710341020;MERCEDES BENZ EDP F 60ML;0;
2483;NULL;3;3595471031013;MERCEDES BENZ EDP F 90ML;0;
2484;NULL;3;3595471071026;MERCEDES BENZ F 60ML EDP;0;
2485;NULL;3;3595471021038;MERCEDES BENZ H 40ML;0;
2486;NULL;3;3595471021021;MERCEDES BENZ H 75ML;0;
2487;NULL;3;3595471021113;MERCEDES BENZ INTENSE H 120ML;0;
2488;NULL;3;3595471021137;MERCEDES BENZ INTENSE H 40ML;0;
2489;NULL;3;3595471021120;MERCEDES BENZ INTENSE H 75ML;0;
