id;id_product;id_loja;cod_prod;titulo;estoque_qtd
(3890;NULL;'003';'8411061725931';'VALENTINA EDP 80ML';0),
(3891;NULL;'003';'737052174464';'VALENTINO F 30ML';0),
(3892;NULL;'003';'3252550561532';'VAM CLEEF 100ML';0),
(3893;NULL;'003';'8018365260757';'VERSACE BLU JEANS';0),
(3894;NULL;'003';'8011003993802';'VERSACE BRIGHT CRYST 30ML';0),
(3895;NULL;'003';'8011003993819';'VERSACE BRIGHT CRYST 50ML';0),
(3896;NULL;'003';'8011003993826';'VERSACE BRIGHT CRYST 90ML';0),
(3897;NULL;'003';'8018365071261';'VERSACE CRYSTAL NOIR 50ML';0),
(3898;NULL;'003';'8018365071469';'VERSACE CRYTAL NOIR 90ML';0),
(3899;NULL;'003';'8011003996766';'VERSACE DREAMER 100ML';0),
(3900;NULL;'003';'8018365150263';'VERSACE DREAMER 50ML';0),
(3901;NULL;'003';'8011003813858';'VERSACE EROS 200ML H';0),
(3902;NULL;'003';'8011003994618';'VERSACE F 100ML';0),
(3903;NULL;'003';'8011003994601';'VERSACE F 50ML';0),
(3904;NULL;'003';'8011003995950';'VERSACE PORU HOMME 50ML';0),
(3905;NULL;'003';'8011003995967';'VERSACE POUR HOMME 100ML';0),
(3906;NULL;'003';'8011003801619';'VERSACE POUR HOMME 200ML';2),
(3907;NULL;'003';'8011003997015';'VERSACE VERSENSE 50ML';0),
(3908;NULL;'003';'8011003998241';'VERSACE VERSUS 100ML';0),
(3909;NULL;'003';'3274870352560';'VERY ABSOLUTELY 75ML';0),
(3910;NULL;'003';'3274870542367';'VERY H 100ML';0),
(3911;NULL;'003';'3274870542350';'VERY H 50ML';0),
(3912;NULL;'003';'3274870546631';'VERY H DEO 150ML';0),
(3913;NULL;'003';'3274870352300';'VERY IRRES. F 30ML';0),
(3914;NULL;'003';'3274870352355';'VERY IRRES. F 50ML';0),
(3915;NULL;'003';'3274870352362';'VERY IRRES. F 75ML';0),
(3916;NULL;'003';'3274870353307';'VERY SENSUAL 30ML';0),
(3917;NULL;'003';'3274870353352';'VERY SENSUAL 50ML';0),
(3918;NULL;'003';'3274870353369';'VERY SENSUAL 75ML';0),
(3919;NULL;'003';'1990';'VESTIDO 3 MARIA AMICIA';9),
(3920;NULL;'003';'2846';'VESTIDO BABADO LA';11),
(3921;NULL;'003';'1448';'VESTIDO BIA LG VETTO';3),
(3922;NULL;'003';'246';'VESTIDO CANGURU REOBOTE';1),
(3923;NULL;'003';'1538';'VESTIDO CLARA VETTO';5),
(3924;NULL;'003';'3357';'VESTIDO CREPE COSTA ABERTA COPINE';1),
(3925;NULL;'003';'2774A';'VESTIDO CREPE LISO L.A';1),
(3926;NULL;'003';'1985';'VESTIDO CURTO AMICIA';13),
(3927;NULL;'003';'2805';'VESTIDO CURTO LA';11),
(3928;NULL;'003';'1497';'VESTIDO DORALICE VETTO';5),
(3929;NULL;'003';'5096';'VESTIDO DUAS CORES EZEE';2),
(3930;NULL;'003';'1255';'VESTIDO DUDA VETTO';2),
(3931;NULL;'003';'3363';'VESTIDO ESTAMPA COPINE';5),
(3932;NULL;'003';'1493';'VESTIDO JESS VET';3),
(3933;NULL;'003';'1398';'VESTIDO KAUANE';10),
(3934;NULL;'003';'1998';'VESTIDO L C RENDA AMICIA';3),
(3935;NULL;'003';'1925';'VESTIDO LINHO BIA AMICIA';14),
(3936;NULL;'003';'1991';'VESTIDO LINHO C MANGA AMICIA';12),
(3937;NULL;'003';'2001';'VESTIDO LINHO COM ELASTICO AMICIA';15),
(3938;NULL;'003';'5084';'VESTIDO LONGO EZEE';0),
(3939;NULL;'003';'1947';'VESTIDO LONGUET AMICIA';8),
(3940;NULL;'003';'2734';'VESTIDO LONGUETE VENICE L.A';0),
(3941;NULL;'003';'3364';'VESTIDO LONGUETE VISCOSE COPINE';2),
(3942;NULL;'003';'2748';'VESTIDO MANGA BUFANTE BIA LA';3),
(3943;NULL;'003';'1122';'VESTIDO MARTA VETTO';1),
(3944;NULL;'003';'2832';'VESTIDO MID  TRICOLINE LA';4),
(3945;NULL;'003';'1935';'VESTIDO MIDI VISC AMICIA';2),
(3946;NULL;'003';'248';'VESTIDO MOLETINHO PRETO REOBOTE';3),
(3947;NULL;'003';'20017';'VESTIDO MOLETINHO SUEDE KARITAS';2),
(3948;NULL;'003';'765';'VESTIDO NITA VETTO';1),
(3949;NULL;'003';'25';'VESTIDO ONCA BIA';1),
(3950;NULL;'003';'57';'VESTIDO PLUS GOLD LOOK';8),
