26/11/21;Estoque Fisico;por Produto;Fl   1
P r o d u t o;Descricao;Qtde;
;;;
892456000426;ANIMALE SPORT H100ML;0;
3360375012358;ANTIDOTE H 125ML;0;
3360375012341;ANTIDOTE H 75ML;0;
8411061587881;ANTONIO H 100ML;0;
8411061592113;ANTONIO H 50ML;0;
3700134404312;AQUA LINITZ H 125ML;0;
3360372008521;ARMANI 100ML;0;
3360372053255;ARMANI 30 ML;0;
3360372008514;ARMANI 50ML;0;
3605520964503;ARMANI A.EXTREME H 75ML;0;
3605520301544;ARMANI ATTITUDE 50ML;0;
3605520301605;ARMANI ATTITUDE 75ML;0;
3614272407435;ARMANI CODE ABS H 60ML;1;
3614272407442;ARMANI CODE ABSOLU EDP 110ML;1;
3614272544437;ARMANI CODE ABSOLU F EDP 50ML;1;
3614271418135;ARMANI CODE CASHMERE EDP 30ML;0;
3360372115601;ARMANI CODE DEO 150ML;0;
3360375004049;ARMANI CODE F 30ML;0;
3360375004056;ARMANI CODE F 50ML;0;
3360375010972;ARMANI CODE F 75ML;1;
3360375006432;ARMANI CODE H 125ML;0;
3605521992703;ARMANI CODE H 200ML;1;
3360372102359;ARMANI CODE H 30ML;0;
3360372100515;ARMANI CODE H 50ML;0;
3360372100522;ARMANI CODE H 75ML;0;
3605522010901;ARMANI CODE ICE H 50ML;0;
3614270581656;ARMANI CODE PROFUMO 60ML;0;
3605521324481;ARMANI CODE SPORT 125ML;0;
3605521321602;ARMANI CODE SPORT H 50ML;0;
3605521322203;ARMANI CODE SPORT H 75ML;0;
3605521228161;ARMANI CODE SUMMER F 75ML;0;
3360372019558;ARMANI MANIA F 50ML;0;
3360372089896;ARMANI MANIA F 75ML;0;
3360372045229;ARMANI MANIA H 100ML;0;
3360372045212;ARMANI MANIA H 50ML;0;
020714001940;AROMATICS ELIXIR 45ML;0;
8002747006057;ARROGANCE F 100ML;0;
8002747040778;ARROGANCE H 100ML;0;
0000000000409;ARROGANCE H 50ML;0;
3457460203361;ARSENAL BLACK H 100ML;0;
3457460233351;ARSENAL BLUE H 100ML;4;
5055121800843;ARSENAL F 100ML;0;
3700608300010;ARSENAL GOLD 100ML;0;
0000000000408;ARSENAL GREY H 100ML;-1;
5055121801154;ARSENAL LOVE STORY EDP100ML;0;
5055121801192;ARSENAL PLATNIUM 100ML;0;
--------------;-----------------------------------------------------;------------------------------------------;---------------------------
26/11/21;Estoque Fisico;por Produto;Fl   7
---------------;-----------------------------------------------------;------------------------------------------;--------------------------
Loja:  03  BIAN;CA NUNES CHIAH-ME;;
---------------;-----------------------------------------------------;------------------------------------------;--------------------------
P r o d u t o;Descricao;Qtde;
;;;
3457460203354;ARSENAL RED H 100ML;0;
5055121801017;ARSENAL SENSUALITY 100ML;0;
3494800520030;ASTERIA 100ML;0;
3494800520047;ASTERIA 30ML;0;
3494800520023;ASTERIA 50ML;0;
054402200438;AUSTRALIA GOLD 15 125ML;0;
054402250525;AUSTRALIA GOLD 15 237ML;0;
054402200445;AUSTRALIA GOLD 30 125ML;0;
054402250624;AUSTRALIA GOLD 30 237ML;0;
054402200421;AUSTRALIA GOLD 8 125ML;0;
054402250488;AUSTRALIA GOLD 8 237ML;0;
054402200162;AUSTRALIA GOLD ACCELERATOR CLEAR 125ML;0;
0544022500440;AUSTRALIA GOLD ACCELERATOR CLEAR 237ML;0;
0544022504400;AUSTRALIA GOLD DARK TAN ACCELERATOR237ML;0;
054402250457;AUSTRALIAN GOLD 4 INSTANT;0;
054402250075;AUSTRALIAN GOLD 4 LOTION;0;
054402250563;AUSTRALIAN GOLD ACELERADOR INSTANT;0;
0054402700280;AUSTRALIAN GOLD BRONZING INTENSIFIER;0;
0054402700358;AUSTRALIAN GOLD SELF TANNING 130ML;0;
3595472911048;AXIS BLACK CAVIAR 100ML;0;
3595475511016;AXIS CAVIAR PREMIUM 100ML;0;
3595476111116;AXIS DESIRE F 100ML;0;
3595472131026;AXIS DIAMOND F 100ML;0;
3595472141025;AXIS LOVE F 100ML;0;
3595472151017;AXIS MIRAGE H 100ML;0;
3595472861015;AXIS PIMK CAVIAR;0;
3595472111011;AXIS PINK 100ML;0;
3595472311015;AXIS RED CAVIAR 100ML;0;
3595472161016;AXIS SAND H 90ML;0;
3700256800108;AZALLEE 100ML;0;
5602154361225;AZEITE ADEGA DE BORBA 500ML;0;
8436003910596;AZEITE ALVA OLIVA 500ML;0;
5602720341859;AZEITE CARTUXA GOURMET 500ML;0;
8437009466650;AZEITE CASA DEL AGUA 500ML;0;
5603790002015;AZEITE CORTES DE CIMA 500ML;0;
5602720311852;AZEITE EA CARTUXA;0;
5600272625014;AZEITE FATIMA 500ML;0;
5600272625120;AZEITE FATIMA PREMIUN 500ML;0;
7730951080037;AZEITE GARZON BIVARIETAL;0;
7730951080310;AZEITE GARZON CORTE ITALIANO;0;
7730951080044;AZEITE GARZON TRIVARIETAL;0;
5609655702144;AZEITE MOUCHAO COURELLAS 500ML;0;
5609655001117;AZEITE MOUCHAO GALEGA 500ML;0;
8437009466025;AZEITE ORO BAILEN 500ML;0;
5605694000036;AZEITE PAULO LAUREANO OLIUM 500ML;0;
5600771018362;AZEITE PINTAS 500ML;0;
5601766800276;AZEITE QUINTA DO ALORNA 500ML;0;
5601064002396;AZEITE QUINTA DO NOVAL 500ML;0;
6194058900031;AZEITE RIVIERA DOR 500ML;0;
5600314041123;AZEITE ROCIM;0;
3351500980406;AZZARO 100ML;4;
--------------;-----------------------------------------------------;------------------------------------------;---------------------------
